host_id,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_has_profile_pic,host_identity_verified,neighbourhood_group_cleansed,room_type,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,has_availability,availability_30,first_review,review_scores_rating,instant_bookable,calculated_host_listings_count,reviews_per_month
71615,2010-01-19,within an hour,0.97,0.9,f,t,t,Eixample,Entire home/apt,8,2.0,3.0,6.0,202.0,1,1125,t,4,2013-05-27,4.3,t,30,0.3
90417,2010-03-09,within an hour,1.0,0.94,t,t,t,Sant Marti,Entire home/apt,5,2.0,3.0,4.0,255.0,3,300,t,16,2011-03-15,4.77,f,2,0.48
567180,2011-05-08,within a few hours,0.88,0.98,f,t,f,Eixample,Entire home/apt,8,2.0,3.0,6.0,331.0,2,30,f,0,2011-08-09,4.55,f,19,0.33
135703,2010-05-31,within an hour,1.0,1.0,f,t,t,Gracia,Entire home/apt,6,1.5,2.0,3.0,171.0,21,31,t,6,2011-07-17,4.46,t,3,0.64
567180,2011-05-08,within a few hours,0.88,0.98,f,t,f,Eixample,Entire home/apt,8,2.5,3.0,5.0,333.0,2,28,f,0,2011-09-13,4.56,f,19,0.34
635253,2011-05-28,within an hour,1.0,1.0,f,t,t,Sants-Montjuic,Entire home/apt,2,2.0,1.0,1.0,80.0,3,1125,t,2,2011-09-03,4.86,f,1,2.7
1744516,2012-02-13,within an hour,0.98,0.96,f,t,t,Gracia,Entire home/apt,7,2.0,3.0,5.0,206.0,3,1125,t,7,2014-06-17,4.56,t,32,0.28
73163,2010-01-24,within an hour,1.0,0.96,f,t,t,Ciutat Vella,Entire home/apt,9,3.0,4.0,6.0,322.0,5,365,t,5,2010-10-03,4.53,f,2,1.34
1744516,2012-02-13,within an hour,0.98,0.96,f,t,t,Gracia,Entire home/apt,7,2.0,3.0,4.0,216.0,3,1125,t,6,2013-04-20,4.43,t,32,0.67
664196,2011-06-04,within a few hours,1.0,0.5,f,t,t,Sant Marti,Entire home/apt,5,1.5,2.0,3.0,90.0,90,365,t,30,2011-10-05,4.64,f,2,0.9
158596,2010-07-05,within a day,0.67,0.63,f,t,t,Ciutat Vella,Private room,1,1.0,1.0,1.0,30.0,31,65,t,2,2011-09-28,4.79,f,1,0.74
610674,2011-05-21,within a few hours,1.0,0.86,t,t,t,Les Corts,Private room,1,1.0,1.0,1.0,40.0,32,1125,t,0,2011-09-25,4.6,f,3,0.91
567180,2011-05-08,within a few hours,0.88,0.98,f,t,f,Eixample,Entire home/apt,8,2.0,3.0,6.0,367.0,2,28,f,0,2011-08-04,4.49,f,19,0.78
177617,2010-07-22,within an hour,1.0,1.0,f,t,t,Eixample,Entire home/apt,4,1.0,1.0,2.0,155.0,2,364,t,0,2011-06-16,4.38,f,6,1.89
711907,2011-06-17,within a few hours,1.0,0.88,f,t,t,Horta-Guinardo,Private room,1,1.0,1.0,1.0,18.0,31,1125,t,5,2015-05-14,4.25,f,1,1.28
474355,2011-03-31,within an hour,1.0,1.0,f,t,t,Eixample,Private room,1,1.0,1.0,1.0,32.0,31,75,t,0,2011-08-12,4.86,f,1,0.65
183340,2010-07-28,within an hour,0.93,0.75,f,t,t,Gracia,Entire home/apt,4,2.0,2.0,4.0,164.0,3,365,t,7,2012-05-14,4.35,t,5,0.53
567180,2011-05-08,within a few hours,0.88,0.98,f,t,f,Eixample,Entire home/apt,8,2.0,3.0,6.0,324.0,2,30,f,0,2012-04-19,4.51,f,19,0.45
1435464,2011-11-23,within an hour,0.96,0.98,f,t,t,Eixample,Entire home/apt,6,2.0,3.0,4.0,253.0,1,1125,t,9,2013-06-20,4.56,t,15,0.66
90417,2010-03-09,within an hour,1.0,0.94,t,t,t,Ciutat Vella,Entire home/apt,2,1.0,2.0,3.0,45.0,31,186,t,0,2011-01-04,4.17,f,2,0.04
1786501,2012-02-21,within an hour,1.0,1.0,f,t,t,Eixample,Entire home/apt,5,1.0,2.0,5.0,133.0,2,90,t,2,2014-02-28,4.73,t,1,1.77
1791076,2012-02-22,within a few hours,0.83,0.84,f,t,t,Ciutat Vella,Entire home/apt,6,1.5,2.0,4.0,146.0,1,1125,t,3,2014-04-20,4.57,f,2,1.65
784341,2011-07-06,within an hour,1.0,0.61,f,t,t,Ciutat Vella,Private room,2,1.0,2.0,2.0,100.0,6,90,t,5,2011-10-26,4.74,f,1,0.81
135703,2010-05-31,within an hour,1.0,1.0,f,t,t,Gracia,Entire home/apt,6,1.0,2.0,7.0,177.0,1,31,t,10,2011-08-12,4.59,t,3,0.56
400154,2011-02-19,within an hour,1.0,0.97,f,t,t,Sant Marti,Entire home/apt,4,1.0,2.0,2.0,152.0,3,330,t,6,2013-05-27,4.81,f,9,0.65
400154,2011-02-19,within an hour,1.0,0.97,f,t,t,Sant Marti,Entire home/apt,3,1.0,2.0,3.0,150.0,3,330,t,7,2013-04-27,4.71,f,9,0.39
1809535,2012-02-25,within an hour,1.0,0.99,t,t,t,Gracia,Entire home/apt,6,1.0,3.0,4.0,214.0,1,10,t,0,2012-07-02,4.89,f,2,2.73
340570,2011-01-09,within an hour,1.0,1.0,t,t,t,Ciutat Vella,Private room,2,2.0,2.0,2.0,150.0,31,730,t,28,2011-04-25,4.74,f,2,0.62
1820272,2012-02-27,within an hour,1.0,1.0,t,t,t,Sant Marti,Entire home/apt,4,1.0,2.0,2.0,134.0,2,1125,t,1,2012-06-11,4.69,t,5,3.25
1824328,2012-02-28,within a few hours,1.0,0.71,t,t,t,Ciutat Vella,Private room,2,1.0,2.0,2.0,50.0,31,150,t,19,2012-04-13,4.73,f,2,0.23
567180,2011-05-08,within a few hours,0.88,0.98,f,t,f,Eixample,Entire home/apt,8,1.5,3.0,6.0,323.0,2,28,f,0,2015-10-18,4.39,f,19,0.24
366428,2011-01-28,a few days or more,0.25,0.0,f,t,f,Gracia,Entire home/apt,9,3.5,3.0,5.0,250.0,5,28,t,0,2011-06-23,5.0,f,1,0.01
